id,price_doc
30474,5127700.036503678
30475,8262389.120461538
30476,5970403.893751358
30477,6771688.134070966
30478,4418849.9427508265
30479,6764690.759200591
30480,4621064.963980347
30481,4829120.916416053
30482,4697673.026754513
30483,4168247.553895252
30484,5026973.032905565
30485,4330472.943895809
30486,3247578.8067189185
30487,5561528.528830841
30488,5392987.953211745
30489,7565000.4273490645
30490,17124269.39296727
30491,14774672.124147188
30492,7955833.818445346
30493,12732583.872521503
30494,7070159.908401322
30495,10117317.657891508
30496,13184087.812058862
30497,8864515.761326488
30498,4236012.58812847
30499,9937153.783738844
30500,9377014.627460055
30501,6815368.7281535985
30502,2417714.1865571598
30503,5632384.942519984
30504,5276641.262195464
30505,9955275.881340291
30506,2694597.243026582
30507,4650516.125017273
30508,6750634.770001121
30509,7096797.057763721
30510,7726643.735762258
30511,6492253.671358904
30512,5568570.687002179
30513,5118469.690213616
30514,3475639.9221647214
30515,7437923.330759093
30516,5529744.7281195745
30517,8319326.483955961
30518,5125967.452058921
30519,4717786.317505022
30520,5527675.95207151
30521,5518174.574289385
30522,8585708.186988896
30523,5652322.4880366335
30524,8194726.616184755
30525,6067627.989214837
30526,4170768.667232334
30527,5675404.770243748
30528,6049913.302541463
30529,6079565.2689954825
30530,5428340.492897752
30531,13262787.131629772
30532,4988547.472196311
30533,9350268.779799696
30534,7003877.159260059
30535,7544507.031671477
30536,5959057.756646367
30537,10785860.077473294
30538,4146967.120863865
30539,15904405.159986846
30540,7672677.304920544
30541,6920598.85934175
30542,2141607.0445818743
30543,4661050.248275029
30544,7898818.468274567
30545,7515491.39456941
30546,4370502.078798002
30547,8481910.127898837
30548,4844178.215554401
30549,4533866.860218209
30550,10963550.011714794
30551,4631469.844208117
30552,1703273.8425820202
30553,6749627.740843665
30554,10033439.850893872
30555,7336536.12838117
30556,6588694.262058473
30557,9262707.86945501
30558,8421839.019461058
30559,5862333.710792376
30560,5002934.004498205
30561,7190446.359070429
30562,9554852.780414257
30563,6100654.069806999
30564,7292627.154757459
30565,11188807.541151216
30566,8297258.409941448
30567,1737319.2926982979
30568,8938215.044009784
30569,9608548.129197966
30570,6054706.467433259
30571,5860634.1421625335
30572,4648443.607020706
30573,4978403.245148024
30574,6468692.5179787325
30575,5470948.614713241
30576,5561528.528830841
30577,5671322.463261615
30578,3384108.373033255
30579,7290930.928983115
30580,4959599.159682963
30581,4612075.297938426
30582,9753463.32307792
30583,7003877.159260059
30584,4050125.316670894
30585,2420151.9613294387
30586,9156553.188675143
30587,7688414.786657566
30588,6401444.619534483
30589,7774640.602489521
30590,12137754.869143484
30591,5710062.475969897
30592,6731235.710462706
30593,12057389.36173501
30594,13863736.373636406
30595,4821211.955405624
30596,6799076.655574319
30597,4978403.245148024
30598,7759023.594267285
30599,11623223.84666867
30600,9511416.847958393
30601,5368212.48742696
30602,1742325.9765389268
30603,10882330.779231424
30604,4773014.058374331
30605,5241489.595501374
30606,18704380.603902172
30607,7290489.998746855
30608,6769460.034950644
30609,7632218.842799464
30610,2324434.473307391
30611,6750634.770001121
30612,7218692.492491318
30613,8327265.581885586
30614,13461915.889434401
30615,7589435.894175627
30616,6228909.732375571
30617,7660472.280994109
30618,4964037.632308048
30619,5749866.460793097
30620,2588455.545605245
30621,7796126.468523768
30622,7673220.995410965
30623,6449040.14715895
30624,7372632.4087078
30625,8423319.09389783
30626,6626192.797678837
30627,8552025.48182994
30628,5022925.550592436
30629,4901091.119267389
30630,6390435.138122831
30631,6304548.356115225
30632,3429242.5391439744
30633,6696998.209832464
30634,11911563.992217392
30635,7746881.1473279
30636,4720408.743376227
30637,7754976.111954156
30638,5465416.432428735
30639,6838007.9136690525
30640,5506111.785435156
30641,10075827.215276737
30642,4943624.1850339845
30643,9271241.989201842
30644,7838624.079758812
30645,7031949.107400669
