id,price_doc
30474,5527086.434283996
30475,9072675.87867829
30476,6118195.1177516095
30477,7118413.722815667
30478,4803492.662174744
30479,6968991.660861354
30480,4852788.429949089
30481,5175920.757259553
30482,5147694.209989258
30483,4531347.639028768
30484,5116866.994563288
30485,4707422.808931249
30486,3589114.1968480465
30487,5819501.7897726875
30488,6099576.037246848
30489,8142590.559340069
30490,17742438.978200696
30491,15395644.251653798
30492,8364211.032890436
30493,13096953.829912245
30494,7685588.25947959
30495,10423488.808013817
30496,13799340.41641078
30497,9458411.524968915
30498,4374558.888412237
30499,10267505.183429223
30500,9728560.619948745
30501,7053322.587207374
30502,2674131.139215
30503,5912453.560885919
30504,5516769.806500472
30505,10495137.30997568
30506,3382696.5983541464
30507,5079253.623903911
30508,7061625.832726347
30509,7393690.0757613275
30510,7864814.084236166
30511,6718746.511006431
30512,5865188.589623694
30513,5354269.490190964
30514,4363188.365993029
30515,7570930.687339617
30516,5966085.628396754
30517,8570579.048542274
30518,5231039.952598821
30519,4813221.933892467
30520,5738129.2177397115
30521,5694975.854468187
30522,8884108.121250812
30523,5804188.835400264
30524,8565722.034790317
30525,6278678.007682004
30526,4585805.043909293
30527,6127042.965771346
30528,6250256.63837248
30529,6170976.694210566
30530,5698666.510071986
30531,13557655.256522706
30532,5388969.692200221
30533,9625709.25045085
30534,7613535.8695469685
30535,7679420.35254909
30536,6464844.57566207
30537,11107982.61753156
30538,4318139.67306513
30539,16466287.858729579
30540,7809882.608180735
30541,7162124.867454371
30542,2588029.9609458335
30543,4859206.606433801
30544,8390509.115587413
30545,7675926.809388291
30546,4752932.660063885
30547,8804838.914064664
30548,5246613.857243055
30549,4975203.661440043
30550,11192255.462019479
30551,5103992.400999105
30552,2138226.2778894105
30553,6892790.860587611
30554,10485632.447277112
30555,7704426.991877936
30556,6787679.881123892
30557,9651677.135034045
30558,8784721.725471653
30559,6012511.440082464
30560,5170522.487045175
30561,7445270.780930988
30562,9768867.362096282
30563,6316182.531158258
30564,7585301.233993109
30565,11704048.309970036
30566,8986562.635318551
30567,2180965.6626326437
30568,9197211.810724767
30569,9917142.396189675
30570,6229343.072215947
30571,6080350.3874679655
30572,5068384.24698673
30573,5067428.666113402
30574,6848919.350340957
30575,5771554.083447343
30576,5819501.7897726875
30577,5770353.246676534
30578,4089533.5503566493
30579,7509490.077722479
30580,5060713.740691192
30581,4848092.46588949
30582,10180550.245508429
30583,7613535.8695469685
30584,4171989.4630272575
30585,2682450.465034119
30586,9534151.791978508
30587,8216148.1064042915
30588,6588345.45650615
30589,8193640.183844349
30590,12989168.760744289
30591,5954249.388610581
30592,6949738.352166208
30593,12669321.156859905
30594,14353524.802057143
30595,4936383.036760858
30596,8942809.620100904
30597,5067428.666113402
30598,7897772.969869424
30599,12314897.709141986
30600,9826429.827970272
30601,5578268.258908736
30602,2187250.8662713543
30603,11076932.146577425
30604,4897523.268523506
30605,5335219.611883623
30606,19430974.867313966
30607,7485219.940147502
30608,7614714.008728271
30609,8203201.777742973
30610,2554479.705079474
