id,price_doc
30474,0.0039000000000000003
30475,0.00792
30476,0.00405
30477,0.00628
30478,0.004
30479,9.25543162114641e+20
30480,4.6958530034862516e+20
30481,0.0043100000000000005
30482,8.096056192413585e+19
30483,7.721185436363622e+19
30484,3.698848399234747e+19
30485,0.003920000000000001
30486,0.0037040000000000003
30487,0.00398
30488,0.00693
30489,0.00693
30490,7.869371494486919e+20
30491,6.735931151531786e+20
30492,0.00625
30493,6.521684944934637e+20
30494,0.0064
30495,1.7822570030488798e+21
30496,7.345864983494703e+20
30497,4.149507227879807e+19
30498,2.1534300549242903e+20
30499,2.0052047756168814e+21
30500,8.497180894178532e+20
30501,2.306470343492632e+20
30502,5.875799760327248e+20
30503,3.815270087704724e+19
30504,5.086861972986045e+20
30505,1.08066113440812e+21
30506,0.0053820000000000005
30507,6.989094503904402e+19
30508,6.25710318107597e+20
30509,7.178149874847035e+20
30510,5.685266984008964e+19
30511,2.6568423152090412e+20
30512,5.4752221693674625e+20
30513,4.7442639206610836e+20
30514,0.006942
30515,5.472826415722266e+19
30516,7.391811240639146e+20
30517,1.1382480019729096e+21
30518,9.100593889274319e+20
30519,0.00312
30520,1.0863529524349239e+21
30521,5.965047777235816e+21
30522,7.688629536819009e+20
30523,1.9889715963943689e+21
30524,5.483501098481642e+20
30525,1.3813778915968683e+21
30526,6.864291249694585e+19
30527,0.00564
30528,1.053466698249412e+21
30529,1.826036985472883e+20
30530,2.6325659025248472e+20
30531,2.003629467519558e+21
30532,0.00498
30533,5.664503215483798e+20
30534,0.00634
30535,5.551250737659878e+19
30536,0.0061
30537,7.769181872110065e+20
30538,3.87951291887285e+20
30539,1.1767353719274793e+22
30540,5.645558466572197e+19
30541,9.595314078251138e+20
30542,0.00348
30543,4.4392270991065606e+20
30544,1.1363653827062845e+19
30545,3.461022990831373e+20
30546,0.00419
30547,1.6669479523808707e+21
30548,0.00491
30549,0.00433
30550,1.4221408932614114e+21
30551,7.720095511554644e+19
30552,0.0034020000000000005
30553,1.4395712615937978e+20
30554,1.0411888970338991e+21
30555,7.455271778730751e+20
30556,9.014633689231389e+20
30557,0.00627
30558,7.12436861662696e+20
30559,4.611006095207196e+20
30560,7.865054925948664e+19
30561,1.1739995278031137e+21
30562,1.8775647572398073e+21
30563,4.5137528650843087e+21
30564,0.004620000000000001
30565,0.00848
30566,0.008409999999999999
30567,0.0034700000000000004
30568,5.146746254588841e+20
30569,7.829166374750445e+20
30570,6.618641022101426e+20
30571,5.310738058861582e+20
30572,6.917779841873984e+19
30573,3.6631107335416574e+19
30574,6.94393219812043e+20
30575,2.3637136506237344e+20
30576,0.00398
